,year,agency_code,career_cluster,num_concentrators,description
463,2019,70311,ARCH,,Architecture and Construction
464,2019,70311,BMA,,Business Management and Administration
465,2019,70311,EDUC,,Education and Training
466,2019,70311,FINA,,Finance
467,2019,70311,HLTH,,Health Science
468,2019,70311,HUMA,,Human Services
469,2019,70311,INFO,,Information Technology
470,2019,70311,LAW,,"Law, Public Safety, Corrections and Security"
471,2019,70311,MANU,,Manufacturing
472,2019,70311,MRKT,,Marketing Sales & Services
473,2019,70311,STEM,,"Science, Tech, Engineering and Math"
474,2019,70311,TRAN,,"Transportation, Distribution & Logistics"
475,2019,160310,STEM,,"Science, Tech, Engineering and Math"
476,2019,980318,AAVC,,"Arts, Audio/Video Techn and Comm"
477,2019,980318,AGNR,17.0,Agricultural & Natural Resources Tech
478,2019,980318,ARCH,8.0,Architecture and Construction
479,2019,980318,BMA,2.0,Business Management and Administration
480,2019,980318,EDUC,,Education and Training
481,2019,980318,FINA,,Finance
482,2019,980318,HLTH,21.0,Health Science
483,2019,980318,HOSP,12.0,Hospitality and Tourism
484,2019,980318,HUMA,6.0,Human Services
485,2019,980318,INFO,4.0,Information Technology
486,2019,980318,LAW,7.0,"Law, Public Safety, Corrections and Security"
487,2019,980318,MANU,,Manufacturing
488,2019,980318,MRKT,,Marketing Sales & Services
489,2019,980318,STEM,,"Science, Tech, Engineering and Math"
490,2019,980318,TRAN,6.0,"Transportation, Distribution & Logistics"
491,2019,360324,BMA,,Business Management and Administration
492,2019,360324,FINA,,Finance
493,2019,360324,HOSP,,Hospitality and Tourism
494,2019,360324,INFO,,Information Technology
495,2019,360324,MRKT,,Marketing Sales & Services
496,2019,410544,AAVC,17.0,"Arts, Audio/Video Techn and Comm"
497,2019,410544,AGNR,1.0,Agricultural & Natural Resources Tech
498,2019,410544,ARCH,,Architecture and Construction
499,2019,410544,BMA,14.0,Business Management and Administration
500,2019,410544,FINA,,Finance
501,2019,410544,HOSP,19.0,Hospitality and Tourism
502,2019,410544,HUMA,33.0,Human Services
