,year,agency_code,career_cluster,num_concentrators
810,2019,150350,EDUC,1.0
811,2019,150350,FINA,
812,2019,150350,HLTH,1.0
813,2019,150350,HOSP,
814,2019,150350,HUMA,2.0
815,2019,150350,INFO,
816,2019,150350,LAW,
817,2019,150350,MANU,1.0
818,2019,150350,MRKT,
819,2019,150350,TRAN,
820,2019,150312,AGNR,
821,2019,150312,INFO,
822,2019,110326,AAVC,
823,2019,110326,BMA,
824,2019,110326,CD,
825,2019,110326,EDUC,
826,2019,110326,FINA,
827,2019,110326,HOSP,
828,2019,110326,HUMA,
829,2019,110326,MRKT,
830,2019,110326,STEM,
831,2019,995316,INFO,
832,2019,440320,CD,
833,2019,440320,STEM,
834,2019,260325,AAVC,6.0
835,2019,260325,AGNR,59.0
836,2019,260325,ARCH,8.0
837,2019,260325,BMA,27.0
838,2019,260325,EDUC,
839,2019,260325,FINA,
840,2019,260325,HLTH,28.0
841,2019,260325,HOSP,15.0
842,2019,260325,HUMA,
843,2019,260325,INFO,37.0
844,2019,260325,LAW,50.0
845,2019,260325,MANU,3.0
846,2019,260325,MRKT,5.0
847,2019,260325,STEM,3.0
848,2019,260325,TRAN,
849,2019,710320,BMA,
850,2019,710320,CD,
851,2019,710320,FINA,
852,2019,710320,HOSP,
853,2019,710320,INFO,
854,2019,710320,MRKT,
855,2019,280304,AAVC,2.0
856,2019,280304,AGNR,3.0
857,2019,280304,ARCH,5.0
858,2019,280304,BMA,2.0
859,2019,280304,EDUC,
860,2019,280304,FINA,
861,2019,280304,HLTH,
862,2019,280304,HOSP,7.0
863,2019,280304,HUMA,
864,2019,280304,INFO,2.0
865,2019,280304,LAW,1.0
866,2019,280304,MANU,
867,2019,280304,MRKT,1.0
868,2019,280304,STEM,
869,2019,280304,TRAN,
870,2019,490310,AAVC,
871,2019,490310,AGNR,4.0
872,2019,490310,ARCH,1.0
873,2019,490310,BMA,
874,2019,490310,EDUC,
875,2019,490310,FINA,
876,2019,490310,HLTH,2.0
877,2019,490310,HOSP,3.0
878,2019,490310,HUMA,2.0
879,2019,490310,INFO,
880,2019,490310,LAW,2.0
881,2019,490310,MANU,2.0
882,2019,490310,MRKT,
883,2019,490310,STEM,
884,2019,490310,TRAN,
885,2019,10311,AAVC,
886,2019,10311,AGNR,
887,2019,10311,ARCH,
888,2019,10311,BMA,
889,2019,10311,EDUC,
890,2019,10311,FINA,
891,2019,10311,HLTH,
892,2019,10311,HOSP,
893,2019,10311,HUMA,
894,2019,10311,INFO,
895,2019,10311,LAW,
896,2019,10311,MANU,
897,2019,10311,MRKT,
898,2019,10311,STEM,
899,2019,10311,TRAN,
900,2019,340332,AAVC,
901,2019,340332,AGNR,
902,2019,340332,ARCH,
903,2019,340332,BMA,
904,2019,340332,EDUC,
905,2019,340332,FINA,
906,2019,340332,HLTH,
907,2019,340332,HOSP,
908,2019,340332,HUMA,
909,2019,340332,INFO,
910,2019,340332,LAW,
911,2019,340332,MANU,
912,2019,340332,MRKT,
913,2019,340332,STEM,
914,2019,340332,TRAN,
915,2019,650355,AAVC,
916,2019,650355,AGNR,
917,2019,650355,ARCH,1.0
918,2019,650355,BMA,
919,2019,650355,FINA,1.0
920,2019,650355,HOSP,
921,2019,650355,HUMA,
922,2019,650355,INFO,
923,2019,650355,MANU,
924,2019,650355,MRKT,
925,2019,650355,TRAN,
926,2019,600333,BMA,
927,2019,600333,CD,
928,2019,600333,FINA,
929,2019,600333,HOSP,
930,2019,600333,INFO,
931,2019,600333,MRKT,
932,2019,600333,STEM,
933,2019,920356,AAVC,
934,2019,920356,BMA,
935,2019,920356,CD,
936,2019,920356,EDUC,
937,2019,920356,FINA,
938,2019,920356,HOSP,
