year,agency_code,career_cluster,num_concentrators
2017,710342,AAVC,319.0
2017,710342,AGNR,60.0
2017,710342,ARCH,759.0
2017,710342,BMA,124.0
2017,710342,FINA,1.0
2017,710342,HLTH,617.0
2017,710342,HOSP,467.0
2017,710342,HUMA,3.0
2017,710342,MRKT,194.0
2017,720316,AAVC,15.0
2017,630360,AAVC,15.0
2017,740309,FINA,4.0
2017,740309,HOSP,25.0
2017,740366,HUMA,73.0
2017,740366,INFO,25.0
2017,740366,MANU,14.0
2017,740366,MRKT,12.0
2017,740366,TRAN,20.0
2017,740374,AGNR,194.0
2017,740374,ARCH,33.0
2017,740374,BMA,22.0
2017,740374,FINA,13.0
2017,740374,HLTH,42.0
2017,740374,HOSP,110.0
2017,740374,HUMA,3.0
2017,740374,INFO,8.0
2017,740374,TRAN,3.0
2017,740388,AAVC,71.0
2017,740388,AGNR,225.0
2017,740388,ARCH,68.0
2017,740388,BMA,23.0
2017,740388,FINA,2.0
2017,740388,HLTH,83.0
2017,740388,HOSP,296.0
2017,740388,HUMA,16.0
2017,740388,INFO,44.0
2017,740388,MANU,31.0
2017,740388,MRKT,9.0
2017,740388,TRAN,28.0
2017,750318,AGNR,68.0
2017,740366,HOSP,111.0
2017,740309,HLTH,34.0
2017,740366,HLTH,31.0
2017,740366,ARCH,21.0
2017,740309,HUMA,1.0
2017,740309,INFO,30.0
2017,740309,LAW,1.0
2017,740309,MANU,5.0
2017,740309,MRKT,4.0
2017,740309,TRAN,6.0
2017,740333,AGNR,120.0
2017,740333,ARCH,97.0
2017,740333,BMA,87.0
2017,740333,HLTH,69.0
2017,740333,HOSP,119.0
2017,740333,HUMA,10.0
2017,740333,INFO,102.0
2017,740333,LAW,9.0
2017,740333,MANU,2.0
2017,740333,MRKT,6.0
2017,740333,TRAN,38.0
2017,740344,AGNR,154.0
2017,740344,ARCH,83.0
2017,740344,BMA,16.0
2017,740344,HLTH,31.0
2017,740344,HOSP,19.0
2017,740344,INFO,11.0
2017,740344,MRKT,8.0
2017,740344,TRAN,18.0
2017,740366,AAVC,28.0
2017,740366,AGNR,83.0
2017,740366,BMA,76.0
2017,780342,INFO,53.0
2017,630336,TRAN,15.0
2017,630336,MRKT,18.0
2017,550344,MANU,5.0
2017,550344,MRKT,6.0
2017,550344,STEM,6.0
2017,550344,TRAN,6.0
2017,550368,AAVC,5.0
2017,550368,AGNR,33.0
2017,550368,ARCH,6.0
2017,550368,BMA,7.0
2017,550368,HLTH,18.0
2017,550368,HOSP,13.0
2017,550368,HUMA,1.0
2017,550368,INFO,6.0
2017,550344,LAW,4.0
2017,550368,LAW,2.0
2017,550368,MRKT,4.0
2017,550368,STEM,10.0
2017,550368,TRAN,9.0
2017,55A000,BMA,1.0
2017,560320,AAVC,1.0
2017,560320,AGNR,23.0
2017,560320,ARCH,16.0
2017,560320,HLTH,19.0
2017,560320,HOSP,3.0
2017,560320,HUMA,3.0
2017,560320,INFO,2.0
2017,560320,LAW,1.0
2017,550368,MANU,2.0
2017,550344,INFO,19.0
2017,550344,HUMA,3.0
2017,550344,HOSP,18.0
2017,550320,AGNR,19.0
2017,550320,ARCH,3.0
2017,550320,BMA,8.0
2017,550320,HLTH,20.0
2017,550320,HOSP,5.0
2017,550320,HUMA,8.0
2017,550320,INFO,13.0
2017,550320,LAW,3.0
2017,550320,MANU,2.0
2017,550320,MRKT,2.0
2017,550320,STEM,1.0
2017,550320,TRAN,9.0
2017,550332,AAVC,8.0
2017,550332,AGNR,21.0
2017,550332,ARCH,6.0
2017,550332,BMA,4.0
2017,550332,HLTH,40.0
2017,550332,HOSP,24.0
2017,550332,HUMA,2.0
2017,550332,INFO,5.0
2017,550332,LAW,1.0
2017,550332,TRAN,4.0
2017,550344,AAVC,14.0
2017,550344,AGNR,14.0
2017,550344,ARCH,11.0
2017,550344,BMA,24.0
2017,550344,HLTH,41.0
2017,560320,MANU,15.0
2017,560320,TRAN,8.0
2017,560324,AAVC,2.0
