Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Stanly County Schools,840303,Albemarle Middle,Southwest,06-08,Y,D,42,33.6,74.1,Met,-1.17,D,40,29.6,81.5,Met,0.60
Stanly County Schools,840304,Aquadale Elementary,Southwest,PK-05,Y,D,51,43.7,81.9,Met,0.77,D,52,50.6,58.0,Not Met,-5.17
Stanly County Schools,840308,Badin Elementary,Southwest,0K-05,Y,C,64,56.3,92.6,Exceeded,5.57,C,69,65.2,84.6,Met,1.86
Stanly County Schools,840310,Central Elementary,Southwest,0K-05,Y,D,42,31.4,86.3,Exceeded,2.53,D,45,36.3,81.4,Met,0.59
Stanly County Schools,840312,Endy Elementary,Southwest,PK-05,Y,D,46,42.0,64.1,Not Met,-3.18,C,56,47.9,86.4,Exceeded,2.59
Stanly County Schools,840316,East Albemarle Elementary,Southwest,0K-05,Y,D,43,33.3,82.1,Met,0.87,D,42,36.3,62.7,Not Met,-3.45
Stanly County Schools,840320,Locust Elementary,Southwest,0K-05,Y,B,72,67.6,91.7,Exceeded,5.04,B,80,79.3,80.4,Met,0.17
Stanly County Schools,840324,Millingport Elementary,Southwest,0K-05,Y,C,58,52.1,82.7,Met,1.11,C,68,64.9,81.6,Met,0.64
Stanly County Schools,840328,North Stanly Middle,Southwest,06-08,,D,49,41.8,76.3,Met,-0.73,F,35,29.9,56.3,Not Met,-6.19
Stanly County Schools,840336,Norwood Elementary,Southwest,0K-05,Y,D,48,39.1,83.5,Met,1.42,D,41,35.6,63.3,Not Met,-3.33
Stanly County Schools,840342,Oakboro Choice STEM,Southwest,0K-08,Y,C,67,61.5,89.0,Exceeded,3.62,B,71,65.9,92.6,Exceeded,5.58
Stanly County Schools,840344,Richfield Elementary,Southwest,0K-05,Y,D,51,44.4,79.1,Met,-0.17,C,56,48.6,83.9,Met,1.56
Stanly County Schools,840350,West Stanly Middle School,Southwest,06-08,,C,64,58.3,85.1,Exceeded,2.06,C,58,53.9,76.3,Met,-0.73
Stanly County Schools,840358,South Stanly Middle,Southwest,06-08,,D,48,41.0,74.1,Met,-1.18,D,46,37.3,82.7,Met,1.10
Stanly County Schools,840360,Stanfield Elementary,Southwest,0K-05,Y,D,53,45.5,83.8,Met,1.54,D,52,50.3,58.6,Not Met,-4.81
Stanly County Schools,840366,Stanly County Virtual Education,Southwest,0K-12,,C,58,50.5,86.5,Exceeded,2.61,F,26,17.9,57.0,Not Met,-5.77
Stokes County Schools,850304,Chestnut Grove Middle School,Piedmont-Triad,06-08,,D,53,50.4,64.0,Not Met,-3.19,C,58,55.9,64.7,Not Met,-3.06
Stokes County Schools,850312,Germanton Elementary School,Piedmont-Triad,0K-05,Y,D,40,31.6,72.4,Met,-1.51,D,48,43.0,67.7,Not Met,-2.46
Stokes County Schools,850314,Mount Olive Elementary School,Piedmont-Triad,0K-05,Y,C,56,51.4,75.2,Met,-0.96,C,62,59.0,72.0,Met,-1.60
Stokes County Schools,850316,King Elementary School,Piedmont-Triad,PK-05,Y,D,52,43.9,82.6,Met,1.07,C,60,54.4,81.2,Met,0.49
Stokes County Schools,850320,Lawsonville Elementary School,Piedmont-Triad,0K-05,Y,C,62,56.6,81.1,Met,0.46,D,41,35.8,63.0,Not Met,-3.39
Stokes County Schools,850328,Nancy Reynolds Elementary School,Piedmont-Triad,0K-05,Y,C,56,50.0,77.7,Met,-0.46,B,73,70.0,86.7,Exceeded,2.71
Stokes County Schools,850336,Pine Hall Elementary School,Piedmont-Triad,0K-05,Y,D,45,37.9,74.2,Met,-1.15,D,48,41.4,73.5,Met,-1.29
Stokes County Schools,850338,Piney Grove Middle School,Piedmont-Triad,06-08,,D,49,44.6,68.0,Not Met,-2.40,D,54,52.7,59.4,Not Met,-4.34
Stokes County Schools,850340,Pinnacle Elementary School,Piedmont-Triad,PK-05,Y,D,49,42.5,76.6,Met,-0.67,C,58,52.1,82.3,Met,0.92
Stokes County Schools,850342,Poplar Springs Elementary School,Piedmont-Triad,PK-05,Y,C,56,49.8,82.7,Met,1.11,C,57,57.4,56.2,Not Met,-6.23
Stokes County Schools,850348,Sandy Ridge Elementary School,Piedmont-Triad,0K-05,Y,C,60,53.8,86.5,Exceeded,2.61,B,70,69.2,72.1,Met,-1.58
Stokes County Schools,850350,Southeastern Stokes Middle School,Piedmont-Triad,06-08,,D,53,47.3,74.8,Met,-1.03,D,46,42.8,57.3,Not Met,-5.58
Stokes County Schools,850354,London Elementary School,Piedmont-Triad,0K-05,Y,D,54,48.1,75.8,Met,-0.83,C,59,55.6,71.8,Met,-1.63
Stokes County Schools,850356,Walnut Cove Elementary School,Piedmont-Triad,PK-05,Y,D,45,38.5,70.1,Met,-1.97,D,52,47.0,71.2,Met,-1.76
Surry County Schools,860302,Cedar Ridge Elementary,Piedmont-Triad,PK-05,Y,D,53,46.8,78.8,Met,-0.24,C,62,57.1,82.6,Met,1.05
Surry County Schools,860306,Central Middle,Piedmont-Triad,06-08,,D,48,46.0,58.1,Not Met,-5.09,D,54,52.4,61.7,Not Met,-3.66
Surry County Schools,860308,Copeland Elementary,Piedmont-Triad,PK-05,Y,C,55,50.5,71.2,Met,-1.76,B,70,69.9,71.0,Met,-1.79
Surry County Schools,860312,Dobson Elementary,Piedmont-Triad,PK-05,Y,C,62,60.1,67.3,Not Met,-2.53,B,72,73.4,67.4,Not Met,-2.51
Surry County Schools,860320,Flat Rock Elementary,Piedmont-Triad,PK-05,Y,C,60,54.9,80.0,Met,0.01,C,65,60.4,81.1,Met,0.47
Surry County Schools,860324,Franklin Elementary,Piedmont-Triad,PK-05,Y,C,63,58.6,82.9,Met,1.19,B,70,66.8,80.6,Met,0.24
Surry County Schools,860326,J Sam Gentry Middle,Piedmont-Triad,06-08,,C,56,50.5,80.3,Met,0.14,C,57,52.8,71.7,Met,-1.66
Surry County Schools,860330,Meadowview Magnet Middle,Piedmont-Triad,06-08,,D,49,46.9,59.4,Not Met,-4.36,C,59,54.4,78.7,Met,-0.25
Surry County Schools,860332,Mountain Park Elementary,Piedmont-Triad,PK-05,Y,C,58,53.1,79.3,Met,-0.14,D,49,43.8,68.4,Not Met,-2.31
Surry County Schools,860339,Pilot Mountain Elementary,Piedmont-Triad,PK-05,Y,C,58,53.6,77.7,Met,-0.46,C,59,59.7,57.3,Not Met,-5.58
Surry County Schools,860340,Pilot Mountain Middle,Piedmont-Triad,06-08,,C,63,60.8,70.5,Met,-1.89,B,72,67.0,90.8,Exceeded,4.51
Surry County Schools,860344,Rockford Elementary,Piedmont-Triad,PK-05,Y,D,54,47.9,79.8,Met,-0.04,D,53,45.9,82.5,Met,1.01
Surry County Schools,860348,Shoals Elementary,Piedmont-Triad,PK-05,Y,B,74,72.6,77.2,Met,-0.55,B,78,83.1,59.2,Not Met,-4.48
Surry County Schools,860356,Westfield Elementary,Piedmont-Triad,PK-05,Y,C,56,51.1,73.5,Met,-1.29,C,61,56.7,76.5,Met,-0.70
Surry County Schools,860360,White Plains Elementary,Piedmont-Triad,PK-05,Y,C,64,63.2,69.6,Not Met,-2.08,C,65,65.4,64.3,Not Met,-3.14
Elkin City Schools,861304,Elkin Elementary,Piedmont-Triad,PK-06,Y,C,62,58.6,75.5,Met,-0.90,C,57,54.9,64.6,Not Met,-3.08
Elkin City Schools,861312,Elkin Middle,Piedmont-Triad,07-08,,C,69,68.2,70.8,Met,-1.83,B,70,66.5,83.1,Met,1.25
Elkin City Schools,861316,Global E-Learning Academy,Piedmont-Triad,0K-12,,C,60,54.9,81.6,Met,0.67,D,44,35.3,78.7,Met,-0.26
Mount Airy City Schools,862310,Jones Intermediate,Piedmont-Triad,03-05,Y,C,55,48.1,83.9,Met,1.59,D,53,52.6,56.2,Not Met,-6.23
Mount Airy City Schools,862316,Mount Airy Middle,Piedmont-Triad,06-08,,D,54,47.4,81.7,Met,0.70,C,62,55.3,90.8,Exceeded,4.52
Swain County Schools,870318,Swain County Middle School,Western,PK-08,Y,D,52,45.5,76.3,Met,-0.74,D,48,44.3,61.6,Not Met,-3.67
Swain County Schools,870320,Swain County East Elementary,Western,0K-05,Y,D,50,40.7,85.7,Exceeded,2.30,D,48,41.6,71.3,Met,-1.74
Swain County Schools,870324,Swain County West Elementary,Western,0K-05,Y,D,50,42.9,79.9,Met,-0.02,C,61,60.3,63.5,Not Met,-3.30
Transylvania County Schools,880304,Brevard Elementary,Western,PK-05,Y,C,62,55.8,84.6,Met,1.87,C,60,60.4,59.8,Not Met,-4.12
Transylvania County Schools,880312,Brevard Middle,Western,06-08,,C,59,53.4,82.9,Met,1.17,C,56,49.1,82.8,Met,1.13
Transylvania County Schools,880318,Pisgah Forest Elementary,Western,PK-05,Y,D,53,45.0,83.6,Met,1.46,D,41,37.1,58.1,Not Met,-5.14
Transylvania County Schools,880324,Rosman Elementary,Western,PK-05,Y,C,59,53.2,83.4,Met,1.37,C,58,56.3,63.0,Not Met,-3.39
Transylvania County Schools,880330,Rosman Middle,Western,06-08,,D,52,44.8,82.1,Met,0.86,D,48,40.4,77.9,Met,-0.41
Transylvania County Schools,880336,T C Henderson,Western,PK-05,Y,D,52,47.4,70.7,Met,-1.86,D,50,50.0,,,
Transylvania County Schools,880350,TCS Online Learning Path,Western,0K-12,,D,40,39.5,,,,F,29,28.9,,,
Tyrrell County Schools,890306,Columbia Middle,Northeast,06-08,Y,D,47,38.5,83.4,Met,1.38,F,32,19.0,82.1,Met,0.85
Tyrrell County Schools,890308,Tyrrell Elementary,Northeast,PK-05,Y,D,43,33.7,81.0,Met,0.40,D,47,38.0,82.9,Met,1.17
Union County Public Schools,900302,Antioch Elementary,Southwest,0K-05,,B,77,78.8,69.3,Not Met,-2.14,B,81,85.8,59.4,Not Met,-4.32
Union County Public Schools,900303,Rea View Elementary,Southwest,0K-05,,A,87,87.3,85.0,Exceeded,2.01,B,84,89.6,60.7,Not Met,-3.85
Union County Public Schools,900304,Benton Heights Elementary,Southwest,PK-05,Y,F,39,27.2,86.3,Exceeded,2.55,D,46,40.1,67.1,Not Met,-2.57
Union County Public Schools,900305,New Town Elementary,Southwest,PK-05,,B,82,82.2,79.2,Met,-0.16,A,87,92.3,66.9,Not Met,-2.62
Union County Public Schools,900306,East Elementary,Southwest,PK-05,Y,F,34,22.1,80.5,Met,0.20,D,45,35.1,84.7,Met,1.89
Union County Public Schools,900307,Rocky River Elementary,Southwest,PK-05,Y,C,56,48.0,88.0,Exceeded,3.20,B,72,70.2,77.4,Met,-0.52
Union County Public Schools,900308,East Union Middle,Southwest,06-08,,D,45,36.1,82.5,Met,1.02,D,45,39.2,68.1,Not Met,-2.37
Union County Public Schools,900310,Cuthbertson Middle,Southwest,06-08,,B,79,79.5,76.4,Met,-0.72,B,78,82.6,58.5,Not Met,-4.87
Union County Public Schools,900312,Fairview Elementary,Southwest,PK-05,,C,58,53.3,78.1,Met,-0.38,B,72,71.6,71.7,Met,-1.65
Union County Public Schools,900314,Monroe Middle,Southwest,06-08,,F,39,29.7,76.8,Met,-0.64,F,38,34.0,52.5,Not Met,-8.47
Union County Public Schools,900318,Hemby Bridge Elementary,Southwest,PK-05,,C,69,66.5,81.1,Met,0.47,B,72,75.7,56.4,Not Met,-6.16
Union County Public Schools,900320,Indian Trail Elementary,Southwest,PK-05,,C,67,62.2,85.4,Exceeded,2.17,B,81,78.5,90.6,Exceeded,4.41
Union County Public Schools,900328,Kensington Elementary,Southwest,PK-05,,B,78,75.2,86.7,Exceeded,2.71,B,77,80.0,62.6,Not Met,-3.48
Union County Public Schools,900332,Marshville Elementary,Southwest,PK-05,Y,D,47,39.4,78.9,Met,-0.21,B,71,68.9,81.6,Met,0.67
Union County Public Schools,900334,Marvin Elementary,Southwest,PK-05,,B,77,80.4,64.6,Not Met,-3.07,B,84,88.1,67.1,Not Met,-2.57
Union County Public Schools,900340,New Salem Elementary,Southwest,PK-05,,C,66,62.2,81.8,Met,0.72,B,76,74.5,80.8,Met,0.34
Union County Public Schools,900341,Porter Ridge Elementary,Southwest,PK-05,,D,48,44.4,62.6,Not Met,-3.48,D,52,49.7,60.4,Not Met,-3.92
Union County Public Schools,900343,Porter Ridge Middle School,Southwest,06-08,,B,72,68.5,84.7,Met,1.88,B,72,70.8,74.4,Met,-1.11
Union County Public Schools,900346,Parkwood Middle,Southwest,06-08,,C,55,50.9,72.2,Met,-1.56,D,50,47.8,61.1,Not Met,-3.78
Union County Public Schools,900347,Poplin Elementary,Southwest,PK-05,,B,72,70.1,81.6,Met,0.67,B,81,84.8,63.4,Not Met,-3.32
Union County Public Schools,900350,Piedmont Middle,Southwest,06-08,,C,58,56.2,67.2,Not Met,-2.55,C,64,61.6,72.0,Met,-1.59
Union County Public Schools,900351,Rock Rest Elementary,Southwest,PK-05,Y,D,47,37.5,83.8,Met,1.54,B,80,83.3,65.7,Not Met,-2.85
Union County Public Schools,900352,Prospect Elementary,Southwest,0K-05,,D,54,46.6,81.5,Met,0.60,C,61,58.2,70.1,Met,-1.98
Union County Public Schools,900353,Sandy Ridge Elementary,Southwest,PK-05,,B,79,81.6,69.6,Not Met,-2.08,A,87,90.1,76.7,Met,-0.66
Union County Public Schools,900354,Sardis Elementary,Southwest,PK-05,Y,C,57,49.3,86.2,Exceeded,2.49,B,70,65.0,89.5,Exceeded,3.83
Union County Public Schools,900356,Shiloh Valley Elementary,Southwest,03-05,,D,48,45.6,59.5,Not Met,-4.30,D,49,46.7,58.3,Not Met,-5.01
Union County Public Schools,900358,Stallings Elementary,Southwest,PK-05,,C,67,65.4,73.9,Met,-1.22,B,75,76.9,69.8,Not Met,-2.03
Union County Public Schools,900362,Sun Valley Middle,Southwest,06-08,,C,58,53.7,76.7,Met,-0.66,C,55,54.3,59.1,Not Met,-4.51
Union County Public Schools,900364,Union Elementary,Southwest,PK-05,Y,D,47,38.6,80.1,Met,0.04,D,51,47.7,65.4,Not Met,-2.92
Union County Public Schools,900368,Unionville Elementary,Southwest,PK-05,,C,62,57.6,81.7,Met,0.71,B,79,78.1,80.4,Met,0.16
Union County Public Schools,900370,Walter Bickett Elementary,Southwest,PK-05,Y,F,34,23.5,75.2,Met,-0.95,F,39,33.6,61.2,Not Met,-3.75
Union County Public Schools,900372,Waxhaw Elementary,Southwest,PK-05,,C,60,54.6,80.7,Met,0.31,C,64,57.7,86.9,Exceeded,2.79
Union County Public Schools,900376,Weddington Elementary,Southwest,PK-05,,B,83,84.1,79.8,Met,-0.04,A,88,89.7,80.1,Met,0.05
Union County Public Schools,900378,Weddington Middle,Southwest,06-08,,B,83,85.6,70.9,Met,-1.81,A,92,91.9,91.1,Exceeded,4.70
Union County Public Schools,900380,Wesley Chapel Elementary,Southwest,0K-05,,B,83,81.5,87.7,Exceeded,3.10,A,87,90.1,73.1,Met,-1.37
Union County Public Schools,900384,Western Union Elementary,Southwest,PK-05,,D,52,47.4,69.4,Not Met,-2.12,D,52,47.7,67.1,Not Met,-2.57
Union County Public Schools,900388,Wingate Elementary,Southwest,PK-05,Y,D,41,31.4,77.6,Met,-0.48,C,59,57.5,66.1,Not Met,-2.77
Union County Public Schools,900391,Marvin Ridge Middle,Southwest,06-08,,A,88,89.2,81.2,Met,0.48,A,93,93.6,89.2,Exceeded,3.68
Vance County Schools,910304,Aycock Elementary,North Central,PK-05,Y,D,45,37.0,78.2,Met,-0.36,C,61,53.2,93.9,Exceeded,6.34
Vance County Schools,910308,Carver Elementary,North Central,PK-05,Y,F,38,29.4,73.6,Met,-1.28,F,37,23.5,89.3,Exceeded,3.73
Vance County Schools,910311,Clarke Elementary,North Central,PK-05,Y,F,31,20.0,73.8,Met,-1.24,F,27,16.0,72.1,Met,-1.58
Vance County Schools,910314,Dabney Elementary,North Central,PK-05,Y,D,41,30.1,82.3,Met,0.94,D,44,33.3,88.1,Exceeded,3.25
Vance County Schools,910316,Vance County Middle School,North Central,06-08,Y,F,35,23.3,83.6,Met,1.46,F,31,19.4,78.5,Met,-0.30
Vance County Schools,910340,New Hope Elementary,North Central,PK-05,Y,F,31,19.2,78.7,Met,-0.25,D,41,30.8,83.6,Met,1.46
Vance County Schools,910346,E O Young Jr Elementary,North Central,PK-05,Y,D,42,32.7,80.0,Met,0.02,D,43,32.7,83.8,Met,1.54
Vance County Schools,910356,Pinkston Street Elementary,North Central,PK-05,Y,D,40,31.3,75.0,Met,-1.00,D,48,37.5,92.1,Exceeded,5.26
Vance County Schools,910360,E M Rollins Elementary,North Central,PK-05,Y,F,36,24.8,81.1,Met,0.46,F,36,25.4,76.0,Met,-0.80
Vance County Schools,910369,Vance Virtual Village Academy,North Central,0K-12,,F,37,31.4,61.7,Not Met,-3.65,F,21,11.7,59.0,Not Met,-4.55
Vance County Schools,910376,L B Yancey Elementary,North Central,PK-05,Y,D,47,36.7,85.7,Exceeded,2.31,D,45,35.4,81.4,Met,0.58
Vance County Schools,910380,Zeb Vance Elementary,North Central,PK-05,Y,D,46,36.4,84.6,Met,1.87,D,48,37.4,89.1,Exceeded,3.67
Vance County Schools,910384,STEM Early High,North Central,06-08,Y,B,77,76.1,81.5,Met,0.61,C,65,61.8,79.7,Met,-0.05
Wake County Schools,920302,River Bend Elementary,North Central,PK-05,Y,D,48,43.8,66.3,Not Met,-2.73,D,53,43.1,92.4,Exceeded,5.49
Wake County Schools,920303,Abbotts Creek Elementary,North Central,PK-05,,B,77,76.3,77.4,Met,-0.52,B,77,74.5,86.5,Exceeded,2.61
Wake County Schools,920304,Adams Elementary,North Central,PK-05,Y,C,61,55.3,82.4,Met,0.96,C,68,64.5,82.6,Met,1.05
Wake County Schools,920306,Herbert Akins Rd Elementary,North Central,PK-05,,C,64,63.2,68.4,Not Met,-2.31,C,68,67.6,68.2,Not Met,-2.36
Wake County Schools,920307,Alston Ridge Elementary,North Central,PK-05,,B,79,79.8,77.3,Met,-0.53,B,82,81.0,85.2,Exceeded,2.11
Wake County Schools,920308,Apex Elementary,North Central,PK-05,,C,64,62.3,72.2,Met,-1.55,C,69,65.9,80.0,Met,0.01
Wake County Schools,920309,Alston Ridge Middle,North Central,06-08,,B,78,79.9,69.4,Not Met,-2.12,B,80,78.6,85.0,Exceeded,2.03
Wake County Schools,920312,Apex Middle,North Central,06-08,,B,71,67.7,82.2,Met,0.88,C,67,66.5,70.7,Met,-1.85
Wake County Schools,920315,Apex Friendship Middle,North Central,06-08,,B,79,76.0,90.0,Exceeded,4.02,B,84,81.5,91.6,Exceeded,5.01
Wake County Schools,920320,Aversboro Elementary,North Central,PK-05,Y,D,42,35.8,67.1,Not Met,-2.57,D,40,30.7,75.5,Met,-0.90
Wake County Schools,920325,Banks Road Elementary,North Central,PK-05,,D,54,51.4,66.7,Not Met,-2.66,D,52,48.3,67.1,Not Met,-2.57
Wake County Schools,920326,Baileywick Road Elementary,North Central,PK-05,Y,C,56,51.2,73.3,Met,-1.34,C,55,49.4,78.9,Met,-0.21
Wake County Schools,920327,Ballentine Elementary,North Central,PK-05,,C,68,64.6,82.2,Met,0.88,B,72,68.3,86.9,Exceeded,2.79
Wake County Schools,920328,Baucom Elementary,North Central,PK-05,,B,78,76.6,81.7,Met,0.71,B,79,79.0,78.2,Met,-0.35
Wake County Schools,920329,Barwell Road Elementary,North Central,PK-05,Y,D,43,33.8,79.1,Met,-0.18,D,53,42.4,93.6,Exceeded,6.18
Wake County Schools,920332,Beaverdam Elementary,North Central,PK-05,Y,D,49,38.5,88.5,Exceeded,3.40,D,42,31.6,82.9,Met,1.16
Wake County Schools,920334,Brassfield Elementary,North Central,0K-05,,C,65,61.4,80.7,Met,0.31,C,66,63.9,72.3,Met,-1.54
Wake County Schools,920336,Brentwood Elementary,North Central,PK-05,Y,D,54,47.8,79.2,Met,-0.15,D,52,42.8,91.1,Exceeded,4.68
Wake County Schools,920340,Briarcliff Elementary,North Central,PK-05,,B,73,73.0,72.3,Met,-1.53,B,77,73.9,91.3,Exceeded,4.81
Wake County Schools,920342,Brier Creek Elementary,North Central,PK-05,,D,48,41.6,72.3,Met,-1.53,D,40,35.9,58.7,Not Met,-4.73
Wake County Schools,920344,Brooks Elementary,North Central,PK-05,,C,60,57.0,69.6,Not Met,-2.08,C,57,50.9,83.5,Met,1.40
Wake County Schools,920349,Bryan Road Elementary,North Central,PK-05,Y,C,68,61.9,91.4,Exceeded,4.87,B,81,77.9,92.2,Exceeded,5.37
Wake County Schools,920351,Buckhorn Creek Elementary,North Central,PK-05,,C,64,62.5,68.0,Not Met,-2.39,B,80,76.3,96.4,Exceeded,7.88
Wake County Schools,920352,Bugg Elementary,North Central,PK-05,Y,D,40,29.6,82.5,Met,1.01,D,47,37.4,87.4,Exceeded,2.98
Wake County Schools,920356,Carnage Middle,North Central,06-08,,B,72,69.4,81.8,Met,0.73,C,62,63.4,55.4,Not Met,-6.72
Wake County Schools,920358,Carpenter Elementary,North Central,PK-05,,B,71,67.9,84.0,Met,1.63,B,77,75.9,81.4,Met,0.57
Wake County Schools,920360,Carroll Middle,North Central,06-08,Y,D,50,45.0,71.2,Met,-1.75,D,40,35.7,55.9,Not Met,-6.45
Wake County Schools,920362,Carver Elementary,North Central,PK-05,Y,D,41,30.9,81.4,Met,0.59,D,50,39.3,91.2,Exceeded,4.74
Wake County Schools,920364,Cary Elementary,North Central,PK-05,,B,70,67.0,84.3,Met,1.74,B,73,67.8,92.5,Exceeded,5.52
Wake County Schools,920369,Cedar Fork Elementary,North Central,PK-05,,B,83,81.8,89.8,Exceeded,3.92,A,86,84.9,90.1,Exceeded,4.08
Wake County Schools,920370,Centennial Campus Middle,North Central,06-08,Y,D,53,46.9,76.6,Met,-0.68,D,47,37.8,83.6,Met,1.46
Wake County Schools,920376,Combs Elementary,North Central,PK-05,,C,67,64.2,76.4,Met,-0.71,B,72,66.7,93.2,Exceeded,5.93
Wake County Schools,920380,Conn Elementary,North Central,PK-05,Y,C,65,60.2,84.2,Met,1.71,C,65,64.0,70.1,Met,-1.97
Wake County Schools,920384,Creech Road Elementary,North Central,PK-05,Y,D,50,39.9,89.3,Exceeded,3.72,C,62,53.8,94.4,Exceeded,6.66
Wake County Schools,920388,Oberlin Middle,North Central,06-08,,C,61,61.4,57.1,Not Met,-5.73,C,61,58.5,71.3,Met,-1.73
Wake County Schools,920390,Davis Drive Elementary,North Central,0K-05,,A,85,87.3,77.6,Met,-0.47,A,86,85.9,87.7,Exceeded,3.10
Wake County Schools,920391,Davis Drive Middle,North Central,06-08,,B,81,83.8,71.3,Met,-1.74,A,91,88.8,100.0,Exceeded,11.06
Wake County Schools,920393,Dillard Drive Elementary,North Central,PK-05,Y,D,44,39.4,60.2,Not Met,-3.96,D,43,35.5,72.1,Met,-1.57
Wake County Schools,920394,Dillard Drive Middle,North Central,06-08,,D,49,46.6,59.6,Not Met,-4.21,D,45,40.4,64.1,Not Met,-3.18
Wake County Schools,920396,Douglas Elementary,North Central,PK-05,,C,69,65.9,81.9,Met,0.78,C,63,58.5,82.1,Met,0.86
Wake County Schools,920398,Durant Road Elementary,North Central,PK-05,Y,C,56,50.5,78.4,Met,-0.31,D,49,43.9,70.8,Met,-1.83
Wake County Schools,920399,Durant Road Middle,North Central,06-08,,D,54,46.8,82.1,Met,0.84,D,50,42.2,81.9,Met,0.76
Wake County Schools,920400,Reedy Creek Middle,North Central,06-08,,C,66,62.8,76.9,Met,-0.61,C,64,59.4,82.2,Met,0.91
Wake County Schools,920402,East Cary Middle,North Central,06-08,,C,66,64.3,72.1,Met,-1.57,D,50,49.8,51.3,Not Met,-9.22
Wake County Schools,920403,East Garner Elementary,North Central,PK-05,Y,D,42,33.3,79.0,Met,-0.19,D,48,40.0,80.5,Met,0.21
Wake County Schools,920404,East Garner Middle,North Central,06-08,Y,F,37,31.2,59.3,Not Met,-4.41,F,32,26.2,56.6,Not Met,-6.02
Wake County Schools,920408,East Millbrook Middle,North Central,06-08,Y,D,42,32.7,77.5,Met,-0.49,F,36,26.8,72.1,Met,-1.58
Wake County Schools,920410,Neuse River Middle,North Central,06-08,Y,D,45,35.9,81.7,Met,0.68,F,39,28.3,80.2,Met,0.11
Wake County Schools,920413,Forestville Road Elementary,North Central,PK-05,Y,D,52,44.2,83.2,Met,1.28,C,55,46.4,90.6,Exceeded,4.41
Wake County Schools,920414,Farmington Woods Elementary,North Central,PK-05,,B,74,71.1,83.6,Met,1.47,B,76,72.5,90.4,Exceeded,4.28
Wake County Schools,920415,Fox Road Elementary,North Central,0K-05,Y,D,47,39.1,77.0,Met,-0.60,D,53,43.5,90.9,Exceeded,4.57
Wake County Schools,920416,Fuller Elementary,North Central,0K-05,,C,68,64.6,82.6,Met,1.05,C,63,60.8,71.1,Met,-1.78
Wake County Schools,920417,Forest Pines Drive Elementary,North Central,PK-05,Y,D,50,47.1,60.0,Not Met,-4.00,C,57,49.1,86.4,Exceeded,2.59
Wake County Schools,920420,Fuquay-Varina Elementary,North Central,PK-05,,D,50,48.5,58.2,Not Met,-5.07,C,59,56.3,69.1,Not Met,-2.18
Wake County Schools,920424,Fuquay-Varina Middle,North Central,06-08,,C,66,62.1,79.9,Met,-0.01,C,66,59.7,89.2,Exceeded,3.70
Wake County Schools,920439,Green Hope Elementary,North Central,PK-05,,A,85,87.9,75.2,Met,-0.96,A,90,91.3,83.3,Met,1.35
Wake County Schools,920440,Green Elementary,North Central,PK-05,Y,D,48,41.9,74.7,Met,-1.06,D,42,33.5,76.3,Met,-0.73
Wake County Schools,920442,Hilburn Drive Academy,North Central,PK-08,,C,69,66.3,81.6,Met,0.67,C,66,60.5,86.5,Exceeded,2.62
Wake County Schools,920443,Highcroft Elementary,North Central,PK-05,,B,83,86.6,70.8,Met,-1.83,B,83,88.1,63.5,Not Met,-3.30
Wake County Schools,920444,Heritage Middle,North Central,06-08,,B,79,77.7,84.5,Met,1.80,B,83,79.7,94.2,Exceeded,6.57
Wake County Schools,920446,Hodge Road Elementary,North Central,PK-05,Y,D,43,33.2,83.7,Met,1.48,D,50,38.0,96.2,Exceeded,7.73
Wake County Schools,920447,Holly Springs Elementary,North Central,PK-05,,B,81,79.9,84.3,Met,1.73,B,84,82.8,88.3,Exceeded,3.33
Wake County Schools,920448,Hunter Elementary,North Central,PK-05,,C,65,67.3,53.9,Not Met,-7.65,C,69,68.8,69.1,Not Met,-2.18
Wake County Schools,920449,Holly Ridge Elementary,North Central,PK-05,,B,78,75.0,88.5,Exceeded,3.41,A,87,83.8,98.5,Exceeded,9.12
Wake County Schools,920450,Holly Ridge Middle,North Central,06-08,,C,62,63.1,55.8,Not Met,-6.51,C,69,67.1,75.4,Met,-0.92
Wake County Schools,920451,Harris Creek Elementary,North Central,PK-05,,C,56,52.8,69.7,Not Met,-2.05,D,53,51.3,58.4,Not Met,-4.93
