Back to Introduction,,,,,,,,,,,,,,,,,
"To find specific information on one or more schools use the filter arrows to select the desired information. District Name includes the 115 district names, charter schools, regional schools, and lab schools. School Name is the name of the school. 

Beginning with the 2022–23 school year, Southside Ashpole has been transferred back to Public Schools of Robeson County from the Innovative School District. Therefore, Southside Ashpole is reported under the Public Schools of Robeson County using school code 295300. Questions regarding Southside Ashpole should be directed to Public Schools of Robeson County. 

",,,,,,"The Achievement Score (80%) and Growth Score (20%) are combined to create the Overall Score.  
AS(.8) + GS(.2) = OS

EVAAS Growth is based on an index value and the index is converted to both the school growth score and status.
The statuses are defined as follows:
Exceeds Growth >= 2.00
Meets Growth 1.99 to -2.00
Does Not Meet Growth < -2.00

The grade scale for reading and mathematics is the same as the School Performance Grade scale.",,,,,,,,,,,
District Name,"School
Code",School Name,State Board Region,Grade Span,Title I Served School,"Reading
Letter
Grade","Reading Overall Score
(OS)","Reading Achievement
Score
(AS)","Reading Growth Score
(GS)",Reading Growth Status,Reading Growth Index,"Mathematics
Letter Grade","Mathematics Overall Score
(OS)","Mathematics Achievement
Score
(AS)","Mathematics Growth Score
(GS)",Mathematics Growth Status,Mathematics Growth Index
Buncombe County Schools,110444,Woodfin Elementary,Western,0K-05,Y,F,38,31.9,62.5,Not Met,-3.49,F,32,31.9,,,
Buncombe County Schools,110450,Koontz Intermediate,Western,05-06,Y,D,53,46.4,77.3,Met,-0.54,C,57,49.7,84.4,Met,1.78
Buncombe County Schools,110451,Eblen Intermediate,Western,05-06,Y,D,41,33.3,71.6,Met,-1.67,D,53,44.2,88.2,Exceeded,3.29
Buncombe County Schools,110475,Buncombe County Schools Virtual Academy,Western,0K-12,,C,66,63.1,77.6,Met,-0.47,D,50,45.9,64.4,Not Met,-3.11
Asheville City Schools,111304,Hall Fletcher Elementary,Western,PK-05,Y,C,56,50.5,77.3,Met,-0.53,D,45,36.9,77.3,Met,-0.54
Asheville City Schools,111306,Isaac Dickson Elementary,Western,PK-05,,C,60,58.0,69.0,Not Met,-2.20,C,58,56.1,67.7,Not Met,-2.46
Asheville City Schools,111307,Asheville Primary,Western,PK-04,Y,C,60,58.3,64.8,Not Met,-3.04,F,36,36.1,,,
Asheville City Schools,111312,Claxton Elementary,Western,0K-05,Y,C,60,54.8,79.7,Met,-0.05,C,59,53.3,81.7,Met,0.69
Asheville City Schools,111332,Ira B Jones Elementary,Western,PK-05,Y,C,57,50.6,80.8,Met,0.34,C,55,45.9,90.2,Exceeded,4.16
Asheville City Schools,111356,Asheville Middle,Western,06-08,,C,58,54.0,74.7,Met,-1.05,D,51,43.2,83.2,Met,1.28
