year,agency_code,career_cluster
2019,650355,MRKT
2019,650355,TRAN
2019,600333,BMA
2019,600333,CD
2019,600333,FINA
2019,600333,HOSP
2019,600333,INFO
2019,600333,MRKT
2019,600333,STEM
2019,920356,AAVC
2019,920356,BMA
2019,920356,CD
2019,920356,EDUC
2019,920356,FINA
2019,920356,HOSP
2019,920356,HUMA
2019,920356,INFO
2019,920356,MRKT
2019,681305,AAVC
2019,681305,AGNR
2019,681305,ARCH
2019,681305,BMA
2019,681305,EDUC
2019,681305,FINA
2019,681305,HLTH
2019,681305,HOSP
2019,681305,HUMA
2019,681305,INFO
2019,681305,LAW
2019,681305,MANU
2019,681305,MRKT
2019,681305,STEM
2019,681305,TRAN
2019,920360,AGNR
2019,920360,BMA
2019,920360,CD
2019,920360,FINA
2019,920360,HOSP
2019,920360,INFO
2019,920360,MRKT
2019,920360,STEM
2019,800361,AAVC
2019,800361,AGNR
2019,800361,ARCH
2019,800361,BMA
2019,800361,EDUC
2019,800361,FINA
2019,800361,HLTH
2019,800361,HOSP
2019,800361,HUMA
2019,800361,INFO
2019,800361,LAW
2019,800361,MANU
2019,800361,MRKT
2019,800361,STEM
2019,800361,TRAN
2019,340336,AAVC
2019,340336,AGNR
2019,340336,ARCH
2019,340336,FINA
2019,340336,HOSP
2019,340336,HUMA
2019,340336,MANU
2019,340336,MRKT
2019,340336,TRAN
2019,340330,AAVC
2019,340330,AGNR
2019,340330,ARCH
2019,340330,BMA
2019,340330,FINA
2019,340330,HOSP
2019,340330,HUMA
2019,340330,INFO
2019,340330,LAW
2019,340330,MANU
2019,340330,MRKT
2019,830304,BMA
2019,830304,CD
2019,830304,FINA
2019,830304,HLTH
2019,830304,HOSP
2019,830304,INFO
2019,830304,MRKT
2019,830304,STEM
2019,920368,AAVC
2019,920368,AGNR
2019,920368,ARCH
2019,920368,BMA
2019,920368,EDUC
2019,920368,FINA
2019,920368,HLTH
2019,920368,HOSP
2019,920368,HUMA
2019,920368,INFO
2019,920368,LAW
2019,920368,MANU
2019,920368,MRKT
2019,920368,STEM
2019,920368,TRAN
2019,180323,AGNR
2019,180323,ARCH
2019,180323,BMA
2019,180323,FINA
2019,180323,HOSP
2019,180323,HUMA
2019,600334,AAVC
2019,600334,ARCH
2019,600334,BMA
2019,600334,FINA
2019,600334,HLTH
2019,600334,HOSP
2019,600334,HUMA
2019,600334,INFO
2019,600334,LAW
2019,600334,MRKT
2019,600334,STEM
2019,240373,AAVC
2019,240373,AGNR
2019,240373,ARCH
2019,240373,BMA
2019,240373,EDUC
2019,240373,FINA
2019,240373,HLTH
2019,240373,HOSP
2019,240373,HUMA
2019,240373,INFO
2019,240373,LAW
2019,240373,MANU
2019,240373,MRKT
2019,240373,STEM
2019,240373,TRAN
2019,350312,AGNR
2019,350312,BMA
2019,350312,CD
2019,350312,FINA
2019,350312,HOSP
2019,350312,INFO
2019,350312,MRKT
2019,100309,BMA
2019,100309,CD
2019,100309,FINA
2019,100309,HOSP
2019,100309,INFO
2019,100309,MRKT
2019,680310,AAVC
2019,680310,AGNR
2019,680310,ARCH
2019,680310,BMA
2019,680310,EDUC
2019,680310,FINA
2019,680310,HLTH
2019,680310,HOSP
2019,680310,HUMA
2019,680310,INFO
2019,680310,LAW
2019,680310,MANU
2019,680310,MRKT
2019,680310,STEM
2019,680310,TRAN
2019,920370,AAVC
2019,920370,CD
2019,920370,EDUC
2019,920370,HUMA
2019,920370,STEM
2019,900366,AAVC
2019,900366,AGNR
2019,900366,ARCH
2019,900366,BMA
2019,900366,EDUC
2019,900366,FINA
2019,900366,HLTH
2019,900366,HOSP
2019,900366,HUMA
2019,900366,INFO
2019,900366,LAW
2019,900366,MANU
2019,900366,MRKT
2019,900366,STEM
2019,900366,TRAN
2019,130310,AAVC
2019,130310,AGNR
2019,130310,ARCH
2019,130310,BMA
2019,130310,EDUC
2019,130310,FINA
2019,130310,HLTH
2019,130310,HOSP
2019,130310,HUMA
2019,130310,INFO
2019,130310,LAW
2019,130310,MANU
2019,130310,MRKT
2019,130310,STEM
2019,130310,TRAN
2019,290308,AAVC
2019,290308,AGNR
2019,290308,ARCH
2019,290308,BMA
2019,290308,FINA
2019,290308,HLTH
2019,290308,HOSP
2019,290308,HUMA
2019,290308,INFO
2019,290308,LAW
2019,290308,MANU
2019,290308,MRKT
2019,290308,STEM
2019,290308,TRAN
2019,290309,BMA
2019,290309,CD
2019,290309,FINA
2019,290309,HOSP
2019,290309,INFO
2019,290309,MRKT
2019,290309,STEM
2019,440326,AAVC
2019,440326,AGNR
2019,440326,ARCH
2019,440326,BMA
2019,440326,FINA
2019,440326,HOSP
2019,440326,HUMA
2019,440326,INFO
